"codigo_uc","nome_uc","ano_criacao","tempo_uc","municipio","uf","bioma","desmatamento_antes","desmatamento_depois"
"0000.17.1493","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",2002,22,"ANANÁS","TO","Amazônia","0.059123865887251804","33.433079880518605"
"0000.17.1493","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",2002,22,"ANANÁS","TO","Cerrado","0.059123865887251804","33.43307988051859"
"0000.15.1881","REFÚGIO DE VIDA SILVESTRE METRÓPOLE DA AMAZÔNIA",2010,14,"ANANINDEUA","PA","Amazônia","8.230716698168807","0.09007219553505702"
"0080.15.2663","AREA DE RELEVANTE INTERESSE ECOLOGICO MUSEU PARQUE SERINGAL",2012,12,"ANANINDEUA","PA","Amazônia","0.8717782471771154","0.0008301019067353"
"0080.15.1960","AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA",2011,13,"ANANINDEUA","PA","Amazônia","0.8717782471771154","0.0008301019067353"
"0000.52.0353","ÁREA DE PROTEÇÃO AMBIENTAL JOÃO LEITE",2002,22,"ANÁPOLIS","GO","Cerrado","0.219124522999972","1.6544752249528158"
"0080.21.3615","PARQUE NATURAL MUNICIPAL RIACHO ESTRELA",2017,7,"ANAPURUS","MA","Cerrado","2.0242073871437483","0.7787145665440376"
"0040.32.2957","ÁREA DE PROTEÇÃO AMBIENTAL MONTE URUBU",2013,10,"ANCHIETA","ES","Área Marinha","0.0365059009668364","0.008239097847102401"
"0040.32.2957","ÁREA DE PROTEÇÃO AMBIENTAL MONTE URUBU",2013,10,"ANCHIETA","ES","Mata Atlântica","0.036505900966836397","0.0082390978471024"
"0040.32.2575","ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL TARTARUGAS",2011,12,"ANCHIETA","ES","Mata Atlântica","0.0365059009668364","0.008239097847102401"
"0040.32.2575","ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL TARTARUGAS",2011,12,"ANCHIETA","ES","Área Marinha","0.0365059009668364","0.0082390978471024"
"0040.32.2539","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MUNICIPAL PAPAGAIO",2012,11,"ANCHIETA","ES","Mata Atlântica","0.0365059009668364","0.0082390978471024"
"0040.32.2539","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MUNICIPAL PAPAGAIO",2012,11,"ANCHIETA","ES","Área Marinha","0.0365059009668364","0.0082390978471024"
"0130.29.3596","PARQUE NATURAL MUNICIPAL DE ANDARAÍ ROTA DAS CACHOEIRAS",2016,7,"ANDARAÍ","BA","Caatinga","1.254426700954981","0.1026505115064955"
"0000.33.3903","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILAN",2018,5,"ANGRA DOS REIS","RJ","Mata Atlântica","0.054109030672748894","0.019906645721703198"
"0100.33.4998","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DAS ILHAS CATAGUÁS",2007,16,"ANGRA DOS REIS","RJ","Área Marinha","0.015771406549225","0.0582442698452271"
"0100.33.4998","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DAS ILHAS CATAGUÁS",2007,16,"ANGRA DOS REIS","RJ","Mata Atlântica","0.015771406549225","0.05824426984522709"
"0100.33.4999","ÁREA DE PROTEÇÃO AMBIENTAL - APA DA BACIA HIDROGRÁFICA DO RIO JAPUÍBA",2007,16,"ANGRA DOS REIS","RJ","Área Marinha","0.015771406549225","0.058244269845227105"
"0100.33.4999","ÁREA DE PROTEÇÃO AMBIENTAL - APA DA BACIA HIDROGRÁFICA DO RIO JAPUÍBA",2007,16,"ANGRA DOS REIS","RJ","Mata Atlântica","0.015771406549225","0.05824426984522709"
"0000.00.2107","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO TANGUÁ",2008,15,"ANGRA DOS REIS","RJ","Mata Atlântica","0.0178068407825079","0.056208835611944195"
"0000.00.2107","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO TANGUÁ",2008,15,"ANGRA DOS REIS","RJ","Área Marinha","0.0178068407825079","0.056208835611944195"
"0000.33.1620","PARQUE ESTADUAL CUNHAMBEBE",2008,15,"ANGRA DOS REIS","RJ","Área Marinha","0.09802213348871329","0.16522667473800173"
"0000.33.1620","PARQUE ESTADUAL CUNHAMBEBE",2008,15,"ANGRA DOS REIS","RJ","Mata Atlântica","0.0980221334887133","0.16522667473800173"
"0010.33.3859","PARQUE NATURAL MUNICIPAL DA MATA ATLÂNTICA",2017,6,"ANGRA DOS REIS","RJ","Área Marinha","0.046830082906070394","0.027185593488381704"
"0010.33.3859","PARQUE NATURAL MUNICIPAL DA MATA ATLÂNTICA",2017,6,"ANGRA DOS REIS","RJ","Mata Atlântica","0.046830082906070394","0.027185593488381704"
"0000.33.3903","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILAN",2018,5,"ANGRA DOS REIS","RJ","Área Marinha","0.054109030672748894","0.019906645721703198"
"0120.52.4413","ÁREA DE PROTEÇÃO AMBIENTAL MOYSES DE CARVALHO ALVES",2022,2,"ANHANGUERA","GO","Cerrado","0.1186949899531587","0"
