municipio;uf;bioma
ITAPERUÇU;PR;Mata Atlântica
ITAÚNA DO SUL;PR;Mata Atlântica
IVAIPORÃ;PR;Mata Atlântica
IVATUBA;PR;Mata Atlântica
IVAÍ;PR;Mata Atlântica
JABOTI;PR;Mata Atlântica
JACAREZINHO;PR;Mata Atlântica
JAGUAPITÃ;PR;Mata Atlântica
JANDAIA DO SUL;PR;Mata Atlântica
JANIÓPOLIS;PR;Mata Atlântica
JAPIRA;PR;Mata Atlântica
JAPURÁ;PR;Mata Atlântica
JARDIM ALEGRE;PR;Mata Atlântica
JARDIM OLINDA;PR;Mata Atlântica
JATAIZINHO;PR;Mata Atlântica
JESUÍTAS;PR;Mata Atlântica
JOAQUIM TÁVORA;PR;Mata Atlântica
JUNDIAÍ DO SUL;PR;Mata Atlântica
JURANDA;PR;Mata Atlântica
JUSSARA;PR;Mata Atlântica
KALORÉ;PR;Mata Atlântica
LARANJAL;PR;Mata Atlântica
LARANJEIRAS DO SUL;PR;Mata Atlântica
LEÓPOLIS;PR;Mata Atlântica
LIDIANÓPOLIS;PR;Mata Atlântica
LINDOESTE;PR;Mata Atlântica
LOANDA;PR;Mata Atlântica
LOBATO;PR;Mata Atlântica
LUNARDELLI;PR;Mata Atlântica
LUPIONÓPOLIS;PR;Mata Atlântica
MAMBORÊ;PR;Mata Atlântica
MANDAGUARI;PR;Mata Atlântica
MANDAGUAÇU;PR;Mata Atlântica
MANDIRITUBA;PR;Mata Atlântica
MANFRINÓPOLIS;PR;Mata Atlântica
MANGUEIRINHA;PR;Mata Atlântica
MANOEL RIBAS;PR;Mata Atlântica
MARECHAL CÂNDIDO RONDON;PR;Mata Atlântica
MARIA HELENA;PR;Mata Atlântica
MARIALVA;PR;Mata Atlântica
MARILUZ;PR;Mata Atlântica
MARILÂNDIA DO SUL;PR;Mata Atlântica
MARINGÁ;PR;Mata Atlântica
MARIPÁ;PR;Mata Atlântica
MARIÓPOLIS;PR;Mata Atlântica
MARMELEIRO;PR;Mata Atlântica
MARQUINHO;PR;Mata Atlântica
MARUMBI;PR;Mata Atlântica
MATO RICO;PR;Mata Atlântica
MAUÁ DA SERRA;PR;Mata Atlântica
MERCEDES;PR;Mata Atlântica
MIRADOR;PR;Mata Atlântica
MIRASELVA;PR;Mata Atlântica
MISSAL;PR;Mata Atlântica
MOREIRA SALES;PR;Mata Atlântica
MUNHOZ DE MELO;PR;Mata Atlântica
NOSSA SENHORA DAS GRAÇAS;PR;Mata Atlântica
NOVA ALIANÇA DO IVAÍ;PR;Mata Atlântica
NOVA AMÉRICA DA COLINA;PR;Mata Atlântica
NOVA AURORA;PR;Mata Atlântica
NOVA CANTU;PR;Mata Atlântica
NOVA ESPERANÇA;PR;Mata Atlântica
NOVA ESPERANÇA DO SUDOESTE;PR;Mata Atlântica
NOVA FÁTIMA;PR;Mata Atlântica
NOVA LARANJEIRAS;PR;Mata Atlântica
NOVA OLÍMPIA;PR;Mata Atlântica
NOVA PRATA DO IGUAÇU;PR;Mata Atlântica
NOVA SANTA BÁRBARA;PR;Mata Atlântica
NOVA SANTA ROSA;PR;Mata Atlântica
NOVA TEBAS;PR;Mata Atlântica
NOVO ITACOLOMI;PR;Mata Atlântica
ORTIGUEIRA;PR;Mata Atlântica
OURIZONA;PR;Mata Atlântica
OURO VERDE DO OESTE;PR;Mata Atlântica
PAIÇANDU;PR;Mata Atlântica
PALMITAL;PR;Mata Atlântica
PARANACITY;PR;Mata Atlântica
PARANAPOEMA;PR;Mata Atlântica
PARANAVAÍ;PR;Mata Atlântica
PARAÍSO DO NORTE;PR;Mata Atlântica
PATO BRAGADO;PR;Mata Atlântica
PEABIRU;PR;Mata Atlântica
PEROBAL;PR;Mata Atlântica
PINHAL DE SÃO BENTO;PR;Mata Atlântica
PINHALÃO;PR;Mata Atlântica
PITANGUEIRAS;PR;Mata Atlântica
PIÊN;PR;Mata Atlântica
PLANALTINA DO PARANÁ;PR;Mata Atlântica
PLANALTO;PR;Mata Atlântica
PORECATU;PR;Mata Atlântica
PORTO BARREIRO;PR;Mata Atlântica
PORTO VITÓRIA;PR;Mata Atlântica
PRADO FERREIRA;PR;Mata Atlântica
PRANCHITA;PR;Mata Atlântica
PRESIDENTE CASTELO BRANCO;PR;Mata Atlântica
PRIMEIRO DE MAIO;PR;Mata Atlântica
PÉROLA;PR;Mata Atlântica
PÉROLA D'OESTE;PR;Mata Atlântica
QUARTO CENTENÁRIO;PR;Mata Atlântica
QUATIGUÁ;PR;Mata Atlântica
QUATRO PONTES;PR;Mata Atlântica
QUINTA DO SOL;PR;Mata Atlântica
QUITANDINHA;PR;Mata Atlântica
RAMILÂNDIA;PR;Mata Atlântica
RANCHO ALEGRE;PR;Mata Atlântica
RANCHO ALEGRE D'OESTE;PR;Mata Atlântica
REALEZA;PR;Mata Atlântica
REBOUÇAS;PR;Mata Atlântica
RENASCENÇA;PR;Mata Atlântica
RESERVA;PR;Mata Atlântica
RIBEIRÃO CLARO;PR;Mata Atlântica
RIBEIRÃO DO PINHAL;PR;Mata Atlântica
RIO BOM;PR;Mata Atlântica
RIO BONITO DO IGUAÇU;PR;Mata Atlântica
RIO BRANCO DO IVAÍ;PR;Mata Atlântica
RIO NEGRO;PR;Mata Atlântica
ROLÂNDIA;PR;Mata Atlântica
RONDON;PR;Mata Atlântica
ROSÁRIO DO IVAÍ;PR;Mata Atlântica
SABÁUDIA;PR;Mata Atlântica
SALGADO FILHO;PR;Mata Atlântica
SALTO DO ITARARÉ;PR;Mata Atlântica
SALTO DO LONTRA;PR;Mata Atlântica
SANTA AMÉLIA;PR;Mata Atlântica
SANTA CECÍLIA DO PAVÃO;PR;Mata Atlântica
SANTA FÉ;PR;Mata Atlântica
SANTA HELENA;PR;Mata Atlântica
SANTA INÊS;PR;Mata Atlântica
SANTA ISABEL DO IVAÍ;PR;Mata Atlântica
SANTA IZABEL DO OESTE;PR;Mata Atlântica
SANTA LÚCIA;PR;Mata Atlântica
SANTA MARIA DO OESTE;PR;Mata Atlântica
SANTA MÔNICA;PR;Mata Atlântica
SANTA TEREZA DO OESTE;PR;Mata Atlântica
SANTA TEREZINHA DE ITAIPU;PR;Mata Atlântica
SANTANA DO ITARARÉ;PR;Mata Atlântica
SANTO ANTÔNIO DA PLATINA;PR;Mata Atlântica
SANTO ANTÔNIO DO CAIUÁ;PR;Mata Atlântica
SANTO ANTÔNIO DO PARAÍSO;PR;Mata Atlântica
SANTO ANTÔNIO DO SUDOESTE;PR;Mata Atlântica
SANTO INÁCIO;PR;Mata Atlântica
SAPOPEMA;PR;Mata Atlântica
SARANDI;PR;Mata Atlântica
SAUDADE DO IGUAÇU;PR;Mata Atlântica
SERRANÓPOLIS DO IGUAÇU;PR;Mata Atlântica
SERTANEJA;PR;Mata Atlântica
SERTANÓPOLIS;PR;Mata Atlântica
SIQUEIRA CAMPOS;PR;Mata Atlântica
SULINA;PR;Mata Atlântica
SÃO CARLOS DO IVAÍ;PR;Mata Atlântica
SÃO JORGE D'OESTE;PR;Mata Atlântica
SÃO JORGE DO IVAÍ;PR;Mata Atlântica
SÃO JOSÉ DA BOA VISTA;PR;Mata Atlântica
SÃO JOSÉ DAS PALMEIRAS;PR;Mata Atlântica
SÃO JOÃO;PR;Mata Atlântica
SÃO JOÃO DO CAIUÁ;PR;Mata Atlântica
SÃO JOÃO DO IVAÍ;PR;Mata Atlântica
SÃO JOÃO DO TRIUNFO;PR;Mata Atlântica
SÃO MANOEL DO PARANÁ;PR;Mata Atlântica
SÃO MATEUS DO SUL;PR;Mata Atlântica
SÃO PEDRO DO IVAÍ;PR;Mata Atlântica
SÃO SEBASTIÃO DA AMOREIRA;PR;Mata Atlântica
SÃO TOMÉ;PR;Mata Atlântica
TAMARANA;PR;Mata Atlântica
TAMBOARA;PR;Mata Atlântica
TAPEJARA;PR;Mata Atlântica
TAPIRA;PR;Mata Atlântica
TELÊMACO BORBA;PR;Mata Atlântica
TERRA BOA;PR;Mata Atlântica
TERRA RICA;PR;Mata Atlântica
TOLEDO;PR;Mata Atlântica
TOMAZINA;PR;Mata Atlântica
TUPÃSSI;PR;Mata Atlântica
UBIRATÃ;PR;Mata Atlântica
UMUARAMA;PR;Mata Atlântica
UNIFLOR;PR;Mata Atlântica
URAÍ;PR;Mata Atlântica
VENTANIA;PR;Mata Atlântica
VERA CRUZ DO OESTE;PR;Mata Atlântica
VERÊ;PR;Mata Atlântica
VIRMOND;PR;Mata Atlântica
VITORINO;PR;Mata Atlântica
WENCESLAU BRAZ;PR;Mata Atlântica
XAMBRÊ;PR;Mata Atlântica
ÂNGULO;PR;Mata Atlântica
CAPIM;PB;Mata Atlântica
CRUZ DO ESPÍRITO SANTO;PB;Mata Atlântica
CUITÉ DE MAMANGUAPE;PB;Mata Atlântica
ITABAIANA;PB;Mata Atlântica
ITAPOROROCA;PB;Mata Atlântica
JACARAÚ;PB;Mata Atlântica
JURIPIRANGA;PB;Mata Atlântica
MARI;PB;Mata Atlântica
NATUBA;PB;Mata Atlântica
PEDRAS DE FOGO;PB;Mata Atlântica
PILAR;PB;Mata Atlântica
SALGADO DE SÃO FÉLIX;PB;Mata Atlântica
SÃO MIGUEL DE TAIPU;PB;Mata Atlântica
UMBUZEIRO;PB;Mata Atlântica
AGRESTINA;PE;Mata Atlântica
ALIANÇA;PE;Mata Atlântica
ALTINHO;PE;Mata Atlântica
AMARAJI;PE;Mata Atlântica
ANGELIM;PE;Mata Atlântica
BARRA DE GUABIRABA;PE;Mata Atlântica
BELÉM DE MARIA;PE;Mata Atlântica
BEZERROS;PE;Mata Atlântica
BOM CONSELHO;PE;Mata Atlântica
BOM JARDIM;PE;Mata Atlântica
BONITO;PE;Mata Atlântica
BREJÃO;PE;Mata Atlântica
BUENOS AIRES;PE;Mata Atlântica
CAMOCIM DE SÃO FÉLIX;PE;Mata Atlântica
CAMUTANGA;PE;Mata Atlântica
CANHOTINHO;PE;Mata Atlântica
CARPINA;PE;Mata Atlântica
CASINHAS;PE;Mata Atlântica
CATENDE;PE;Mata Atlântica
CHÃ GRANDE;PE;Mata Atlântica
CHÃ DE ALEGRIA;PE;Mata Atlântica
CONDADO;PE;Mata Atlântica
CORTÊS;PE;Mata Atlântica
CUPIRA;PE;Mata Atlântica
ESCADA;PE;Mata Atlântica
FEIRA NOVA;PE;Mata Atlântica
FERNANDO DE NORONHA;PE;Mata Atlântica
FERREIROS;PE;Mata Atlântica
GAMELEIRA;PE;Mata Atlântica
GARANHUNS;PE;Mata Atlântica
GLÓRIA DO GOITÁ;PE;Mata Atlântica
ITAMBÉ;PE;Mata Atlântica
ITAQUITINGA;PE;Mata Atlântica
JOAQUIM NABUCO;PE;Mata Atlântica
JOÃO ALFREDO;PE;Mata Atlântica
JUREMA;PE;Mata Atlântica
LAGOA DE ITAENGA;PE;Mata Atlântica
LAGOA DO CARRO;PE;Mata Atlântica
LIMOEIRO;PE;Mata Atlântica
MACHADOS;PE;Mata Atlântica
MARAIAL;PE;Mata Atlântica
NAZARÉ DA MATA;PE;Mata Atlântica
OROBÓ;PE;Mata Atlântica
PALMARES;PE;Mata Atlântica
PALMEIRINA;PE;Mata Atlântica
PANELAS;PE;Mata Atlântica
PASSIRA;PE;Mata Atlântica
POMBOS;PE;Mata Atlântica
PRIMAVERA;PE;Mata Atlântica
RIBEIRÃO;PE;Mata Atlântica
SAIRÉ;PE;Mata Atlântica
SALOÁ;PE;Mata Atlântica
SÃO BENEDITO DO SUL;PE;Mata Atlântica
SÃO CAITANO;PE;Mata Atlântica
SÃO JOAQUIM DO MONTE;PE;Mata Atlântica
SÃO JOSÉ DA COROA GRANDE;PE;Mata Atlântica
SÃO JOÃO;PE;Mata Atlântica
TEREZINHA;PE;Mata Atlântica
TRACUNHAÉM;PE;Mata Atlântica
VITÓRIA DE SANTO ANTÃO;PE;Mata Atlântica
XEXÉU;PE;Mata Atlântica
ÁGUA PRETA;PE;Mata Atlântica
CEARÁ-MIRIM;RN;Mata Atlântica
JUNDIÁ;RN;Mata Atlântica
MAXARANGUAPE;RN;Mata Atlântica
MONTANHAS;RN;Mata Atlântica
MONTE ALEGRE;RN;Mata Atlântica
PARNAMIRIM;RN;Mata Atlântica
RIO DO FOGO;RN;Mata Atlântica
SÃO GONÇALO DO AMARANTE;RN;Mata Atlântica
TOUROS;RN;Mata Atlântica
VILA FLOR;RN;Mata Atlântica
AJURICABA;RS;Mata Atlântica
ALECRIM;RS;Mata Atlântica
ALEGRIA;RS;Mata Atlântica
ALMIRANTE TAMANDARÉ DO SUL;RS;Mata Atlântica
ALPESTRE;RS;Mata Atlântica
ALTO ALEGRE;RS;Mata Atlântica
ALTO FELIZ;RS;Mata Atlântica
AMETISTA DO SUL;RS;Mata Atlântica
ANDRÉ DA ROCHA;RS;Mata Atlântica
ANTA GORDA;RS;Mata Atlântica
ANTÔNIO PRADO;RS;Mata Atlântica
ARATIBA;RS;Mata Atlântica
ARROIO DO MEIO;RS;Mata Atlântica
ARROIO DO SAL;RS;Mata Atlântica
ARROIO DO TIGRE;RS;Mata Atlântica
ARVOREZINHA;RS;Mata Atlântica
AUGUSTO PESTANA;RS;Mata Atlântica
BARRA FUNDA;RS;Mata Atlântica
BARRA DO GUARITA;RS;Mata Atlântica
BARRA DO RIO AZUL;RS;Mata Atlântica
BARROS CASSAL;RS;Mata Atlântica
BARÃO;RS;Mata Atlântica
BARÃO DE COTEGIPE;RS;Mata Atlântica
BENJAMIN CONSTANT DO SUL;RS;Mata Atlântica
BOA VISTA DAS MISSÕES;RS;Mata Atlântica
BOA VISTA DO BURICÁ;RS;Mata Atlântica
BOA VISTA DO CADEADO;RS;Mata Atlântica
BOA VISTA DO SUL;RS;Mata Atlântica
BOM PRINCÍPIO;RS;Mata Atlântica
BOM PROGRESSO;RS;Mata Atlântica
BOM RETIRO DO SUL;RS;Mata Atlântica
BOQUEIRÃO DO LEÃO;RS;Mata Atlântica
BOZANO;RS;Mata Atlântica
BRAGA;RS;Mata Atlântica
BROCHIER;RS;Mata Atlântica
CACIQUE DOBLE;RS;Mata Atlântica
CAIBATÉ;RS;Mata Atlântica
CAIÇARA;RS;Mata Atlântica
CAMARGO;RS;Mata Atlântica
CAMPESTRE DA SERRA;RS;Mata Atlântica
CAMPINA DAS MISSÕES;RS;Mata Atlântica
CAMPINAS DO SUL;RS;Mata Atlântica
CAMPO NOVO;RS;Mata Atlântica
CAMPOS BORGES;RS;Mata Atlântica
CANDELÁRIA;RS;Mata Atlântica
CANUDOS DO VALE;RS;Mata Atlântica
CAPELA DE SANTANA;RS;Mata Atlântica
CAPITÃO;RS;Mata Atlântica
CAPÃO BONITO DO SUL;RS;Mata Atlântica
CAPÃO DA CANOA;RS;Mata Atlântica
CARAZINHO;RS;Mata Atlântica
CARAÁ;RS;Mata Atlântica
CARLOS BARBOSA;RS;Mata Atlântica
CARLOS GOMES;RS;Mata Atlântica
CASCA;RS;Mata Atlântica
CASEIROS;RS;Mata Atlântica
CATUÍPE;RS;Mata Atlântica
CENTENÁRIO;RS;Mata Atlântica
CERRO BRANCO;RS;Mata Atlântica
CERRO GRANDE;RS;Mata Atlântica
CERRO LARGO;RS;Mata Atlântica
CHAPADA;RS;Mata Atlântica
CHARRUA;RS;Mata Atlântica
CHIAPETTA;RS;Mata Atlântica
CIRÍACO;RS;Mata Atlântica
COLINAS;RS;Mata Atlântica
COLORADO;RS;Mata Atlântica
CONDOR;RS;Mata Atlântica
CONSTANTINA;RS;Mata Atlântica
COQUEIRO BAIXO;RS;Mata Atlântica
COQUEIROS DO SUL;RS;Mata Atlântica
CORONEL BARROS;RS;Mata Atlântica
CORONEL BICACO;RS;Mata Atlântica
CORONEL PILAR;RS;Mata Atlântica
COTIPORÃ;RS;Mata Atlântica
COXILHA;RS;Mata Atlântica
CRISSIUMAL;RS;Mata Atlântica
CRISTAL DO SUL;RS;Mata Atlântica
CRUZ ALTA;RS;Mata Atlântica
CRUZALTENSE;RS;Mata Atlântica
CRUZEIRO DO SUL;RS;Mata Atlântica
CÂNDIDO GODÓI;RS;Mata Atlântica
DAVID CANABARRO;RS;Mata Atlântica
DEZESSEIS DE NOVEMBRO;RS;Mata Atlântica
DOIS IRMÃOS;RS;Mata Atlântica
DOIS IRMÃOS DAS MISSÕES;RS;Mata Atlântica
DOIS LAJEADOS;RS;Mata Atlântica
DONA FRANCISCA;RS;Mata Atlântica
DOUTOR MAURÍCIO CARDOSO;RS;Mata Atlântica
DOUTOR RICARDO;RS;Mata Atlântica
ENCANTADO;RS;Mata Atlântica
ENGENHO VELHO;RS;Mata Atlântica
ENTRE RIOS DO SUL;RS;Mata Atlântica
ENTRE-IJUÍS;RS;Mata Atlântica
EREBANGO;RS;Mata Atlântica
ERECHIM;RS;Mata Atlântica
ERNESTINA;RS;Mata Atlântica
ERVAL GRANDE;RS;Mata Atlântica
ERVAL SECO;RS;Mata Atlântica
ESMERALDA;RS;Mata Atlântica
ESPERANÇA DO SUL;RS;Mata Atlântica
ESPUMOSO;RS;Mata Atlântica
ESTAÇÃO;RS;Mata Atlântica
ESTRELA;RS;Mata Atlântica
ESTRELA VELHA;RS;Mata Atlântica
ESTÂNCIA VELHA;RS;Mata Atlântica
EUGÊNIO DE CASTRO;RS;Mata Atlântica
FAGUNDES VARELA;RS;Mata Atlântica
FARROUPILHA;RS;Mata Atlântica
FAXINAL DO SOTURNO;RS;Mata Atlântica
FAXINALZINHO;RS;Mata Atlântica
FAZENDA VILANOVA;RS;Mata Atlântica
FELIZ;RS;Mata Atlântica
FLORES DA CUNHA;RS;Mata Atlântica
FLORIANO PEIXOTO;RS;Mata Atlântica
FONTOURA XAVIER;RS;Mata Atlântica
FORQUETINHA;RS;Mata Atlântica
FORTALEZA DOS VALOS;RS;Mata Atlântica
FREDERICO WESTPHALEN;RS;Mata Atlântica
GARIBALDI;RS;Mata Atlântica
GAURAMA;RS;Mata Atlântica
GENERAL CÂMARA;RS;Mata Atlântica
GENTIL;RS;Mata Atlântica
GETÚLIO VARGAS;RS;Mata Atlântica
GIRUÁ;RS;Mata Atlântica
GLORINHA;RS;Mata Atlântica
GRAMADO XAVIER;RS;Mata Atlântica
GRAMADO DOS LOUREIROS;RS;Mata Atlântica
GRAVATAÍ;RS;Mata Atlântica
GUABIJU;RS;Mata Atlântica
GUAPORÉ;RS;Mata Atlântica
GUARANI DAS MISSÕES;RS;Mata Atlântica
HARMONIA;RS;Mata Atlântica
HERVEIRAS;RS;Mata Atlântica
IBIAÇÁ;RS;Mata Atlântica
IBIRAIARAS;RS;Mata Atlântica
IBIRAPUITÃ;RS;Mata Atlântica
IBIRUBÁ;RS;Mata Atlântica
IGREJINHA;RS;Mata Atlântica
IJUÍ;RS;Mata Atlântica
ILÓPOLIS;RS;Mata Atlântica
IMIGRANTE;RS;Mata Atlântica
INDEPENDÊNCIA;RS;Mata Atlântica
INHACORÁ;RS;Mata Atlântica
IPIRANGA DO SUL;RS;Mata Atlântica
IPÊ;RS;Mata Atlântica
IRAÍ;RS;Mata Atlântica
ITAPUCA;RS;Mata Atlântica
ITATIBA DO SUL;RS;Mata Atlântica
IVORÁ;RS;Mata Atlântica
IVOTI;RS;Mata Atlântica
JABOTICABA;RS;Mata Atlântica
JACUIZINHO;RS;Mata Atlântica
JACUTINGA;RS;Mata Atlântica
JAGUARI;RS;Mata Atlântica
JARI;RS;Mata Atlântica
JÚLIO DE CASTILHOS;RS;Mata Atlântica
LAGOA BONITA DO SUL;RS;Mata Atlântica
LAGOA VERMELHA;RS;Mata Atlântica
LAGOA DOS TRÊS CANTOS;RS;Mata Atlântica
LAGOÃO;RS;Mata Atlântica
LAJEADO;RS;Mata Atlântica
LAJEADO DO BUGRE;RS;Mata Atlântica
LIBERATO SALZANO;RS;Mata Atlântica
LINDOLFO COLLOR;RS;Mata Atlântica
LINHA NOVA;RS;Mata Atlântica
MACHADINHO;RS;Mata Atlântica
MAMPITUBA;RS;Mata Atlântica
MARATÁ;RS;Mata Atlântica
MARAU;RS;Mata Atlântica
MARIANO MORO;RS;Mata Atlântica
MARQUES DE SOUZA;RS;Mata Atlântica
MATA;RS;Mata Atlântica
MATO LEITÃO;RS;Mata Atlântica
MATO QUEIMADO;RS;Mata Atlântica
MAXIMILIANO DE ALMEIDA;RS;Mata Atlântica
MIRAGUAÍ;RS;Mata Atlântica
MONTAURI;RS;Mata Atlântica
MONTE ALEGRE DOS CAMPOS;RS;Mata Atlântica
MONTE BELO DO SUL;RS;Mata Atlântica
MONTENEGRO;RS;Mata Atlântica
MORMAÇO;RS;Mata Atlântica
MORRINHOS DO SUL;RS;Mata Atlântica
MORRO REUTER;RS;Mata Atlântica
MULITERNO;RS;Mata Atlântica
MUÇUM;RS;Mata Atlântica
NICOLAU VERGUEIRO;RS;Mata Atlântica
NONOAI;RS;Mata Atlântica
NOVA ALVORADA;RS;Mata Atlântica
NOVA ARAÇÁ;RS;Mata Atlântica
NOVA BASSANO;RS;Mata Atlântica
NOVA BOA VISTA;RS;Mata Atlântica
NOVA BRÉSCIA;RS;Mata Atlântica
NOVA CANDELÁRIA;RS;Mata Atlântica
NOVA ESPERANÇA DO SUL;RS;Mata Atlântica
NOVA HARTZ;RS;Mata Atlântica
NOVA PALMA;RS;Mata Atlântica
NOVA PETRÓPOLIS;RS;Mata Atlântica
NOVA PRATA;RS;Mata Atlântica
NOVA PÁDUA;RS;Mata Atlântica
NOVA RAMADA;RS;Mata Atlântica
NOVA ROMA DO SUL;RS;Mata Atlântica
NOVA SANTA RITA;RS;Mata Atlântica
NOVO BARREIRO;RS;Mata Atlântica
NOVO CABRAIS;RS;Mata Atlântica
NOVO HAMBURGO;RS;Mata Atlântica
NOVO MACHADO;RS;Mata Atlântica
NOVO TIRADENTES;RS;Mata Atlântica
NOVO XINGU;RS;Mata Atlântica
NÃO-ME-TOQUE;RS;Mata Atlântica
PAIM FILHO;RS;Mata Atlântica
PALMEIRA DAS MISSÕES;RS;Mata Atlântica
PALMITINHO;RS;Mata Atlântica
PANAMBI;RS;Mata Atlântica
PARAÍ;RS;Mata Atlântica
PARAÍSO DO SUL;RS;Mata Atlântica
PARECI NOVO;RS;Mata Atlântica
PAROBÉ;RS;Mata Atlântica
PASSA SETE;RS;Mata Atlântica
PASSO FUNDO;RS;Mata Atlântica
PASSO DO SOBRADO;RS;Mata Atlântica
PAULO BENTO;RS;Mata Atlântica
PAVERAMA;RS;Mata Atlântica
PEJUÇARA;RS;Mata Atlântica
PICADA CAFÉ;RS;Mata Atlântica
PINHAL;RS;Mata Atlântica
PINHAL GRANDE;RS;Mata Atlântica
PINHAL DA SERRA;RS;Mata Atlântica
PINHEIRINHO DO VALE;RS;Mata Atlântica
PINTO BANDEIRA;RS;Mata Atlântica
PIRAPÓ;RS;Mata Atlântica
PLANALTO;RS;Mata Atlântica
PONTE PRETA;RS;Mata Atlântica
PONTÃO;RS;Mata Atlântica
PORTO LUCENA;RS;Mata Atlântica
PORTO MAUÁ;RS;Mata Atlântica
PORTO VERA CRUZ;RS;Mata Atlântica
PORTO XAVIER;RS;Mata Atlântica
PORTÃO;RS;Mata Atlântica
POUSO NOVO;RS;Mata Atlântica
POÇO DAS ANTAS;RS;Mata Atlântica
PRESIDENTE LUCENA;RS;Mata Atlântica
PROGRESSO;RS;Mata Atlântica
PROTÁSIO ALVES;RS;Mata Atlântica
PUTINGA;RS;Mata Atlântica
QUATRO IRMÃOS;RS;Mata Atlântica
QUEVEDOS;RS;Mata Atlântica
QUINZE DE NOVEMBRO;RS;Mata Atlântica
REDENTORA;RS;Mata Atlântica
RELVADO;RS;Mata Atlântica
RESTINGA SÊCA;RS;Mata Atlântica
RIO PARDO;RS;Mata Atlântica
RIO DOS ÍNDIOS;RS;Mata Atlântica
RIOZINHO;RS;Mata Atlântica
ROCA SALES;RS;Mata Atlântica
RODEIO BONITO;RS;Mata Atlântica
ROLADOR;RS;Mata Atlântica
ROLANTE;RS;Mata Atlântica
RONDA ALTA;RS;Mata Atlântica
RONDINHA;RS;Mata Atlântica
ROQUE GONZALES;RS;Mata Atlântica
SAGRADA FAMÍLIA;RS;Mata Atlântica
SALDANHA MARINHO;RS;Mata Atlântica
SALTO DO JACUÍ;RS;Mata Atlântica
SALVADOR DAS MISSÕES;RS;Mata Atlântica
SALVADOR DO SUL;RS;Mata Atlântica
SANANDUVA;RS;Mata Atlântica
SANTA BÁRBARA DO SUL;RS;Mata Atlântica
SANTA CECÍLIA DO SUL;RS;Mata Atlântica
SANTA CLARA DO SUL;RS;Mata Atlântica
SANTA CRUZ DO SUL;RS;Mata Atlântica
SANTA MARIA DO HERVAL;RS;Mata Atlântica
SANTA ROSA;RS;Mata Atlântica
SANTA TEREZA;RS;Mata Atlântica
SANTIAGO;RS;Mata Atlântica
SANTO ANTÔNIO DO PALMA;RS;Mata Atlântica
SANTO ANTÔNIO DO PLANALTO;RS;Mata Atlântica
SANTO AUGUSTO;RS;Mata Atlântica
SANTO CRISTO;RS;Mata Atlântica
SANTO EXPEDITO DO SUL;RS;Mata Atlântica
SANTO ÂNGELO;RS;Mata Atlântica
SEBERI;RS;Mata Atlântica
SEDE NOVA;RS;Mata Atlântica
SEGREDO;RS;Mata Atlântica
SELBACH;RS;Mata Atlântica
SENADOR SALGADO FILHO;RS;Mata Atlântica
SERAFINA CORRÊA;RS;Mata Atlântica
SETE DE SETEMBRO;RS;Mata Atlântica
SILVEIRA MARTINS;RS;Mata Atlântica
SOBRADINHO;RS;Mata Atlântica
SOLEDADE;RS;Mata Atlântica
SÃO DOMINGOS DO SUL;RS;Mata Atlântica
SÃO FRANCISCO DE ASSIS;RS;Mata Atlântica
SÃO JORGE;RS;Mata Atlântica
SÃO JOSÉ DAS MISSÕES;RS;Mata Atlântica
SÃO JOSÉ DO HORTÊNCIO;RS;Mata Atlântica
SÃO JOSÉ DO INHACORÁ;RS;Mata Atlântica
SÃO JOSÉ DO OURO;RS;Mata Atlântica
SÃO JOSÉ DO SUL;RS;Mata Atlântica
SÃO JOSÉ DOS AUSENTES;RS;Mata Atlântica
SÃO JOÃO DA URTIGA;RS;Mata Atlântica
SÃO JOÃO DO POLÊSINE;RS;Mata Atlântica
SÃO LUIZ GONZAGA;RS;Mata Atlântica
SÃO MARCOS;RS;Mata Atlântica
SÃO MARTINHO;RS;Mata Atlântica
SÃO MIGUEL DAS MISSÕES;RS;Mata Atlântica
SÃO NICOLAU;RS;Mata Atlântica
SÃO PAULO DAS MISSÕES;RS;Mata Atlântica
SÃO PEDRO DA SERRA;RS;Mata Atlântica
SÃO PEDRO DAS MISSÕES;RS;Mata Atlântica
SÃO PEDRO DO BUTIÁ;RS;Mata Atlântica
SÃO PEDRO DO SUL;RS;Mata Atlântica
SÃO SEBASTIÃO DO CAÍ;RS;Mata Atlântica
SÃO VALENTIM;RS;Mata Atlântica
SÃO VALENTIM DO SUL;RS;Mata Atlântica
SÃO VALÉRIO DO SUL;RS;Mata Atlântica
SÃO VENDELINO;RS;Mata Atlântica
SÃO VICENTE DO SUL;RS;Mata Atlântica
SÉRIO;RS;Mata Atlântica
TABAÍ;RS;Mata Atlântica
TAPEJARA;RS;Mata Atlântica
TAPERA;RS;Mata Atlântica
TAQUARA;RS;Mata Atlântica
TAQUARI;RS;Mata Atlântica
TENENTE PORTELA;RS;Mata Atlântica
TEUTÔNIA;RS;Mata Atlântica
TIO HUGO;RS;Mata Atlântica
TIRADENTES DO SUL;RS;Mata Atlântica
TOROPI;RS;Mata Atlântica
TRAVESSEIRO;RS;Mata Atlântica
TRINDADE DO SUL;RS;Mata Atlântica
TRIUNFO;RS;Mata Atlântica
TRÊS ARROIOS;RS;Mata Atlântica
TRÊS CACHOEIRAS;RS;Mata Atlântica
