codigo_uc;bioma;area
0000.00.1223;Cerrado;3556.0
0000.00.1224;Amazônia;4790.0
0000.00.1225;Cerrado;10.0
0000.00.1226;Amazônia;781.0
0000.00.1227;Amazônia;195.0
0000.00.1228;Pantanal;36231.0
0000.00.1229;Cerrado;394.0
0000.00.1230;Amazônia;10322.0
0000.00.1231;Pantanal;38386.0
0000.00.1232;Pantanal;8232.0
0000.00.1233;Pantanal;25575.0
0000.00.1234;Cerrado;401.0
0000.00.1235;Caatinga;580.0
0000.00.1236;Mata Atlântica;953.0
0000.00.1237;Cerrado;1673.0
0000.00.1239;Caatinga;22.0
0000.00.1240;Cerrado;445.0
0000.00.1241;Cerrado;12552.0
0000.00.1242;Pantanal;9411.0
0000.00.1243;Pantanal;2000.0
0000.00.1244;Pantanal;684.0
0000.00.1245;Cerrado;133.0
0000.00.1247;Mata Atlântica;10190.0
0000.00.1248;Mata Atlântica;4055.0
0000.00.1249;Cerrado;3108.0
0000.00.1250;Cerrado;2975.0
0000.00.1251;Cerrado;2695.0
0000.00.1252;Cerrado;1421.0
0000.00.1253;Cerrado;1184.0
0000.00.1254;Mata Atlântica;950.0
0000.00.1255;Mata Atlântica;560.0
0000.00.1256;Mata Atlântica;519.0
0000.00.1257;Cerrado;493.0
0000.00.1258;Cerrado;406.0
0000.00.1259;Cerrado;358.0
0000.00.1262;Cerrado;298.0
0000.00.1263;Cerrado;254.0
0000.00.1264;Cerrado;180.0
0000.00.1265;Cerrado;173.0
0000.00.1266;Mata Atlântica;150.0
0000.00.1267;Mata Atlântica;134.0
0000.00.1268;Cerrado;122.0
0000.00.1269;Mata Atlântica;96.0
0000.00.1270;Mata Atlântica;55.0
0000.00.1271;Cerrado;93.0
0000.00.1272;Mata Atlântica;427.0
0000.00.1273;Cerrado;74.0
0000.00.1274;Cerrado;73.0
0000.00.1275;Mata Atlântica;69.0
0000.00.1276;Cerrado;72.0
0000.00.1277;Mata Atlântica;118.0
0000.00.1279;Mata Atlântica;46.0
0000.00.1280;Mata Atlântica;43.0
0000.00.1281;Mata Atlântica;40.0
0000.00.1283;Cerrado;38.0
0000.00.1284;Mata Atlântica;37.0
0000.00.1285;Mata Atlântica;35.0
0000.00.1286;Cerrado;34.0
0000.00.1287;Cerrado;34.0
0000.00.1288;Mata Atlântica;33.0
0000.00.1289;Mata Atlântica;30.0
0000.00.1290;Mata Atlântica;29.0
0000.00.1291;Cerrado;28.0
0000.00.1292;Mata Atlântica;27.0
0000.00.1293;Cerrado;25.0
0000.00.1294;Mata Atlântica;22.0
0000.00.1296;Mata Atlântica;22.0
0000.00.1297;Mata Atlântica;18.0
0000.00.1298;Cerrado;16.0
0000.00.1299;Mata Atlântica;15.0
0000.00.1301;Mata Atlântica;9.0
0000.00.1302;Mata Atlântica;8.0
0000.00.1303;Mata Atlântica;5.0
0000.00.1304;Cerrado;3.0
0000.00.1305;Cerrado;4.0
0000.00.1306;Mata Atlântica;2.0
0000.00.1307;Mata Atlântica;2.0
0000.00.1308;Mata Atlântica;2.0
0000.00.1309;Mata Atlântica;2.0
0000.00.1310;Mata Atlântica;2.0
0000.00.1311;Mata Atlântica;1.0
0000.00.1312;Cerrado;1.0
0000.00.1313;Mata Atlântica;1.0
