codigo_uc;municipio;uf
0000.00.0152;PETRÓPOLIS;RJ
0000.00.0152;TERESÓPOLIS;RJ
0000.00.0153;CAMBARÁ DO SUL;RS
0000.00.0153;JACINTO MACHADO;SC
0000.00.0153;PRAIA GRANDE;SC
0000.00.0154;RIO DE JANEIRO;RJ
0000.00.0155;CHAPADÃO DO CÉU;GO
0000.00.0155;MINEIROS;GO
0000.00.0156;ALTO PARNAÍBA;MA
0000.00.0156;BARREIRAS DO PIAUÍ;PI
0000.00.0156;CORRENTE;PI
0000.00.0156;FORMOSA DO RIO PRETO;BA
0000.00.0156;GILBUÉS;PI
0000.00.0156;LIZARDA;TO
0000.00.0156;MATEIROS;TO
0000.00.0156;SÃO FÉLIX DO TOCANTINS;TO
0000.00.0156;SÃO GONÇALO DO GURGUÉIA;PI
0000.00.0157;BOCAIÚVA;MG
0000.00.0157;BUENÓPOLIS;MG
0000.00.0157;DIAMANTINA;MG
0000.00.0157;OLHOS-D'ÁGUA;MG
0000.00.0158;CAMBARÁ DO SUL;RS
0000.00.0158;PRAIA GRANDE;SC
0000.00.0159;BRASÍLIA;DF
0000.00.0159;PADRE BERNARDO;GO
0000.00.0159;PLANALTINA;GO
0000.00.0160;ALTO CAPARAÓ;MG
0000.00.0160;ALTO JEQUITIBÁ;MG
0000.00.0160;CAPARAÓ;MG
0000.00.0160;DIVINO DE SÃO LOURENÇO;ES
0000.00.0160;DORES DO RIO PRETO;ES
0000.00.0160;ESPERA FELIZ;MG
0000.00.0160;IBITIRAMA;ES
0000.00.0160;IRUPI;ES
0000.00.0160;IÚNA;ES
0000.00.0161;ALTÔNIA;PR
0000.00.0161;ALTO PARAÍSO;PR
0000.00.0161;ELDORADO;MS
0000.00.0161;GUAÍRA;PR
0000.00.0161;ICARAÍMA;PR
0000.00.0161;ITAQUIRAÍ;MS
0000.00.0161;MUNDO NOVO;MS
0000.00.0161;NAVIRAÍ;MS
0000.00.0161;SÃO JORGE DO PATROCÍNIO;PR
0000.00.0162;CRUZ;CE
0000.00.0162;JIJOCA DE JERICOACOARA;CE
0000.00.0163;ALVORADA D'OESTE;RO
0000.00.0163;CAMPO NOVO DE RONDÔNIA;RO
0000.00.0163;GOVERNADOR JORGE TEIXEIRA;RO
0000.00.0163;GUAJARÁ-MIRIM;RO
0000.00.0163;MIRANTE DA SERRA;RO
0000.00.0163;NOVA MAMORÉ;RO
0000.00.0163;SÃO MIGUEL DO GUAPORÉ;RO
0000.00.0164;GUARATUBA;PR
0000.00.0164;MATINHOS;PR
0000.00.0164;MORRETES;PR
0000.00.0164;PARANAGUÁ;PR
0000.00.0165;BOM JARDIM DA SERRA;SC
0000.00.0165;GRÃO PARÁ;SC
0000.00.0165;ORLEANS;SC
0000.00.0165;URUBICI;SC
0000.00.0166;BRASILEIRA;PI
0000.00.0166;PIRACURUCA;PI
0000.00.0167;FRECHEIRINHA;CE
0000.00.0167;TIANGUÁ;CE
0000.00.0167;UBAJARA;CE
0000.00.0168;LAGOA DA CONFUSÃO;TO
0000.00.0168;PIUM;TO
0000.00.0169;CALÇOENE;AP
0000.00.0169;OIAPOQUE;AP
0000.00.0170;BUÍQUE;PE
0000.00.0170;IBIMIRIM;PE
0000.00.0170;SERTÂNIA;PE
0000.00.0170;TUPANATINGA;PE
0000.00.0171;PRADO;BA
0000.00.0172;CÉU AZUL;PR
0000.00.0172;FOZ DO IGUAÇU;PR
0000.00.0172;MATELÂNDIA;PR
0000.00.0172;MEDIANEIRA;PR
0000.00.0172;SÃO MIGUEL DO IGUAÇU;PR
0000.00.0173;BARCELOS;AM
0000.00.0173;NOVO AIRÃO;AM
0000.00.0174;UIRAMUTÃ;RR
0000.00.0175;POCONÉ;MT
0000.00.0176;PORTO SEGURO;BA
0000.00.0177;SANTA ISABEL DO RIO NEGRO;AM
0000.00.0177;SÃO GABRIEL DA CACHOEIRA;AM
0000.00.0178;GUARAQUEÇABA;PR
0000.00.0179;CARACARAÍ;RR
0000.00.0179;RORAINÓPOLIS;RR
0000.00.0180;BARREIRINHAS;MA
0000.00.0180;PRIMEIRA CRUZ;MA
0000.00.0180;SANTO AMARO DO MARANHÃO;MA
0000.00.0181;ÁGUIA BRANCA;ES
0000.00.0181;PANCAS;ES
0000.00.0182;PORTO SEGURO;BA
0000.00.0183;ARINOS;MG
0000.00.0183;CHAPADA GAÚCHA;MG
0000.00.0183;COCOS;BA
0000.00.0183;FORMOSO;MG
0000.00.0184;BOCAINA DE MINAS;MG
0000.00.0184;ITAMONTE;MG
0000.00.0184;ITATIAIA;RJ
0000.00.0184;RESENDE;RJ
0000.00.0185;ALCOBAÇA;BA
0000.00.0185;CARAVELAS;BA
0000.00.0186;FERNANDO DE NORONHA;PE
0000.00.0187;ALMEIRIM;PA
0000.00.0187;CALÇOENE;AP
0000.00.0187;LARANJAL DO JARI;AP
0000.00.0187;OIAPOQUE;AP
0000.00.0187;PEDRA BRANCA DO AMAPARI;AP
0000.00.0187;SERRA DO NAVIO;AP
0000.00.0188;COSTA MARQUES;RO
0000.00.0188;GUAJARÁ-MIRIM;RO
0000.00.0189;BARCELOS;AM
0000.00.0189;CARACARAÍ;RR
0000.00.0190;PORTO ALEGRE;RS
0000.00.0191;SANTA TERESA;ES
0000.00.0192;BRASÍLIA;DF
0000.00.0193;ALMENARA;MG
0000.00.0193;JEQUITINHONHA;MG
0000.00.0194;TAPAUÁ;AM
0000.00.0195;ARACRUZ;ES
0000.00.0195;LINHARES;ES
0000.00.0196;MAMANGUAPE;PB
0000.00.0196;RIO TINTO;PB
0000.00.0197;CORRENTES;PE
0000.00.0197;LAGOA DO OURO;PE
0000.00.0197;QUEBRANGULO;AL
0000.00.0198;RIO FORMOSO;PE
0000.00.0198;TAMANDARÉ;PE
0000.00.0199;PACATUBA;SE
0000.00.0199;PIRAMBU;SE
0000.00.0200;FLORESTA;PE
0000.00.0200;INAJÁ;PE
0000.00.0200;TACARATU;PE
0000.00.0201;JAGUARÉ;ES
0000.00.0201;LINHARES;ES
0000.00.0201;SOORETAMA;ES
0000.00.0201;VILA VALÉRIO;ES
0000.00.0202;UNA;BA
0000.00.0203;NATAL;RN
0000.00.0204;PINHEIROS;ES
0000.00.0205;CONCEIÇÃO DA BARRA;ES
0000.00.0205;MUCURI;BA
0000.00.0206;ALTA FLORESTA D'OESTE;RO
0000.00.0206;SÃO FRANCISCO DO GUAPORÉ;RO
0000.00.0206;SÃO MIGUEL DO GUAPORÉ;RO
0000.00.0207;BOM JARDIM;MA
0000.00.0207;CENTRO NOVO DO MARANHÃO;MA
0000.00.0207;SÃO JOÃO DO CARÚ;MA
0000.00.0208;JI-PARANÁ;RO
0000.00.0208;MACHADINHO D'OESTE;RO
0000.00.0208;VALE DO ANARI;RO
0000.00.0209;AMAPÁ;AP
0000.00.0209;TARTARUGALZINHO;AP
